Question	Answer 1	Answer 2	Answer 3	Answer 4	Time limit (sec)	Correct answer(s)
🎨 黄色让你想到什么心情？(Yellow = which mood?)	😄 开心	😢 难过	😡 生气	😱 害怕	20	1
💙 蓝色经常代表什么心情？(Blue = which mood?)	😢 难过	😄 开心	😡 生气	❤️ 喜欢	20	1
💃 跳舞是哪一种艺术？(Dance is which art form?)	舞蹈	绘画	音乐	雕塑	20	1
🗿 用石头/木头做的艺术叫什么？(Stone/wood art = ?)	雕塑	绘画	音乐	戏剧	20	1
✨ 「艺术 = ?」(Art = ?)	表达 Express	完美 Perfect	真实 Real	复杂 Complex	20	1
🎭 谁发明了「立体派」？(Who invented Cubism?)	毕加索 Picasso	马蒂斯 Matisse	梵高 Van Gogh	达利 Dalí	20	1
✂️ 马蒂斯老了用什么代替画笔？(Old Matisse used what?)	剪刀 Scissors	铅笔 Pencil	水彩 Watercolor	手指 Fingers	20	1
🌌 谁画的星星会「转」？(Whose stars swirl?)	梵高 Van Gogh	毕加索 Picasso	马蒂斯 Matisse	达利 Dalí	20	1
🌻 《向日葵》是谁画的？(Sunflowers — who?)	梵高 Van Gogh	莫奈 Monet	毕加索 Picasso	马蒂斯 Matisse	20	1
😢 《哭泣的女人》是谁画的？(Weeping Woman — who?)	毕加索 Picasso	梵高 Van Gogh	马蒂斯 Matisse	达利 Dalí	20	1
🐌 《蜗牛》是用什么做的？(The Snail — made of?)	彩纸剪贴 Cut paper	油画颜料 Oil	水彩 Watercolor	蜡笔 Crayon	20	1
🇳🇱 梵高是哪国画家？(Van Gogh from?)	荷兰 Netherlands	法国 France	西班牙 Spain	意大利 Italy	20	1
🇪🇸 毕加索是哪国画家？(Picasso from?)	西班牙 Spain	法国 France	意大利 Italy	荷兰 Netherlands	20	1
🇫🇷 马蒂斯是哪国画家？(Matisse from?)	法国 France	意大利 Italy	西班牙 Spain	荷兰 Netherlands	20	1
👤 「变形的脸」是谁的特点？(Twisted face = whose style?)	毕加索 Picasso	梵高 Van Gogh	马蒂斯 Matisse	莫奈 Monet	20	1
🖌️ 中国水墨画用什么画？(Chinese ink uses?)	毛笔+墨+水	油画颜料	蜡笔	水彩	20	1
⚫ 水墨画主要是什么颜色？(Main colors?)	黑白灰	红黄蓝	彩虹色	金色	20	1
💧 水多 = ?	浅墨 (淡) Light ink	浓墨 (深) Dark ink	没墨 No ink	红墨 Red ink	20	1
🦐 谁画的虾最有名？(Famous shrimp painter?)	齐白石	张大千	范宽	郑板桥	20	1
🌬️ 「留白」是什么意思？(What is "leave blank"?)	不画满, 留出空白	用白色画	画很多白纸	不画画	30	1
🎨 中西画对比, 哪个颜色更多？(More colors — which?)	西洋画 Western	中国水墨 Chinese ink	一样多 Same	都没颜色 None	20	1
🏔️ 范宽的《溪山行旅图》画的是什么？(Subject?)	山水 Landscape	竹子 Bamboo	鱼 Fish	熊猫 Panda	20	1
🐼 谁画熊猫最有名 (现代水墨)？(Famous panda painter?)	吴作人	齐白石	范宽	郑板桥	20	1
📜 水墨画用什么纸？(Ink painting paper?)	宣纸 Rice paper	复印纸 Copy paper	报纸 News paper	卡纸 Card	20	1
🌿 中国水墨画的主题大多是什么？(Mostly?)	自然 Nature	人物 People	城市 City	机器 Machines	20	1
🕰️ 谁画了「融化的钟」？(Who painted melting clocks?)	达利 Dalí	马格利特 Magritte	毕加索 Picasso	梵高 Van Gogh	20	1
🚭 谁画了「这不是一支烟斗」？(Who painted "Not a Pipe"?)	马格利特 Magritte	达利 Dalí	毕加索 Picasso	杜尚 Duchamp	20	1
⚫ 草间弥生最喜欢画什么？(Kusama loves to paint?)	圆点 Dots	山水 Landscape	人物 People	花 Flowers	20	1
🚲 杜尚把什么放进美术馆？(Duchamp put what in museum?)	生活物品 Everyday things	油画 Oil paintings	雕塑 Sculpture	国画 Ink paintings	20	1
👁️ 「视错觉」是什么意思？(What is optical illusion?)	看起来在动其实没动	真的在动	看不见	太亮	30	1
🦋 「对称」是什么？(Symmetry = ?)	一边和另一边一样	颜色一样	大小一样	形状不同	20	1
🇯🇵 草间弥生是哪国艺术家？(Kusama from?)	日本 Japan	中国 China	韩国 Korea	美国 USA	20	1
💡 「当代艺术」的特点是什么？(Contemporary art = ?)	不一定要像真的	一定要画得像	必须用油画	必须很大	30	1
🎨 哪一个「不是」艺术形式？(Which is NOT an art form?)	吃饭 Eating	绘画 Painting	音乐 Music	舞蹈 Dance	20	1
💭 当代艺术里最重要的是什么？(Most important in contemporary?)	想法 Idea	画得像 Realism	颜色多 Many colors	大尺寸 Big size	20	1
