树很多, 光线暗的地方叫什么？,森林 (sēn lín)
平平的, 长满草, 有花有虫的地方叫什么？,草地 (cǎo dì)
有水流, 地面湿滑的地方叫什么？,河边 (hé biān)
高高低低, 容易滑倒的地方叫什么？,山地 (shān dì)
到处是沙, 又热又干的地方叫什么？,沙漠 (shā mò)
冷冷白白, 地面滑的地方叫什么？,雪地 (xuě dì)
草地里可能有什么危险？,可能摔倒、被虫咬、踩到石头或坑
河边可能有什么危险？,可能滑倒、掉进水里、水流太急
森林里可能有什么危险？,容易迷路, 可能有不认识的植物或动物
雪地里可能有什么危险？,可能滑倒、着凉、看不清路, 冰可能薄
山地可能有什么危险？,可能滑倒、滚石、突然下雨、雷电
沙漠可能有什么危险？,中暑、缺水、容易迷路
河边的水可以直接喝吗？为什么？,不可以 — 要烧开或过滤, 否则会生病
看到不认识的蘑菇能吃吗？,不能 — 可能有毒
一个人可以独自进森林吗？为什么？,不可以 — 容易迷路, 一定要跟大人
营地有 4 件事要做, 是哪 4 件？,装包 → 选址 → 搭建 → 安全规则
营地一共分几个区？,5 个区
睡觉的地方在营地叫什么区？,帐篷区
烧火做饭的地方叫什么区？,用火就餐区
大家一起玩游戏的地方叫什么区？,公共娱乐区
喝水洗碗的地方叫什么区？,取水用水区
上厕所、洗手的地方叫什么区？,卫生区
帐篷区有什么要求？,平整、干净, 清除石块树根
取水用水区为什么要远离厕所？,防止污染水源
帐篷可以搭在哪里？,平坦干燥的地面, 远离水边和悬崖
帐篷可以搭在大树正下方吗？为什么？,不可以 — 枯枝会掉下来, 打雷也危险
帐篷可以搭在低洼处吗？为什么？,不可以 — 下雨会积水
火堆要离帐篷至少多远？,至少 4 米 (about 13 feet)
火堆旁边一定要准备什么？,水或沙子 (用来灭火)
看到火苗变大, 应该怎么办？,找大人 — 不要自己靠近, 不要自己用水浇
背包里一定要带什么？,水、食物、急救用品、手电筒、雨衣
看到野生动物 (例如臭鼬), 可以靠近吗？,不可以 — 像乔治碰臭鼬就被喷了, 要站远一点
"帐篷" 这个词怎么读？,zhàng peng
请说出 6 种自然环境的名字,森林、山地、草地、河边、沙漠、雪地
请说出营地的 5 个区,帐篷区、用火就餐区、公共娱乐区、取水用水区、卫生区
