离 太阳 最 近 的 行星 是 哪 一 颗?,水星,金星,地球,海王星
八 大 行星 里 最 热 的 星球 是?,金星,水星,火星,木星
我们 住 在 哪 颗 星球 上?,地球,火星,金星,月亮
红 彤彤 的 红色 星球 是?,火星,金星,水星,木星
八 大 行星 里 个头 最 大 的 是?,木星,土星,地球,海王星
行星 环 最 明显 的 是 哪 一 颗?,土星,木星,海王星,天王星
八 大 行星 中 最 冷 的 星球 是?,天王星,海王星,水星,火星
离 太阳 最 远 的 行星 是?,海王星,天王星,木星,水星
八 大 行星 的 口诀 是?,水 金 地 火 木 土 天 海,金 水 地 火 木 土 天 海,地 水 金 火 木 土 天 海,水 金 火 地 木 土 天 海
太阳系 的 中心 是 谁?,太阳,地球,月亮,木星
八 大 行星 都 绕 着 谁 转?,太阳,地球,月亮,银河
哪 两 颗 行星 长 得 很 像?,天王星 和 海王星,水星 和 金星,地球 和 火星,木星 和 土星
太阳系 里 除了 行星 还 有 谁?,卫星 + 彗星 + 尘埃,房子 + 树木,鱼 + 小鸟,云 + 雨
从 太空 看 地球 是 什么 颜色?,蓝色,红色,绿色,黄色
月亮 会 自己 发光 吗?,不会 — 它 反射 太阳光,会 — 月亮 自己 发光,只 在 月圆 时 发光,只 在 夏天 发光
在 月球 上 跳 起来 会 怎么 样?,跳 得 又 高 又 轻,跳 不 起来,和 在 地球 上 一 样,会 飞 走
什么 是 星座?,古人 把 星星 连 起来 想象 的 图案,天上 真的 动物,一 种 特别 的 行星,一 颗 最 亮 的 星星
北斗 七星 看 起来 像 什么?,一 把 勺子,一 条 蛇,一 只 熊,一 只 兔子
北斗 七星 由 几 颗 星星 组成?,7 颗,5 颗,9 颗,12 颗
古人 用 北斗 七星 的 「勺柄」 方向 来 确定 什么?,春 夏 秋 冬,东 南 西 北,几 点 钟,有 没有 下雨
迷路 的 时候 找 哪 颗 星星 帮忙?,北极星,启明星,月亮,银河
北极星 总是 挂 在 哪 个 方向?,北方,南方,东方,西方
清晨 天空 中 最 亮 的 星星 叫 什么?,启明星,北极星,北斗 七星,流星
启明星 出现 代表 什么?,太阳 就 要 出来 了,月亮 就 要 出来 了,马上 下雨,流星 要 来 了
古人 看 星星 主要 用来 做 什么?,找 方向 + 记 季节,玩 游戏 + 看 电视,煮饭 + 洗 衣,跑步 + 跳舞
「宇宙」 这 个 词 语 怎么 读?,yǔ zhòu,yú zhòu,yù zhòu,yǔ zòu
「月亮」 这 个 词 语 怎么 读?,yuè liang,yuè liáng,yuě liang,yuē liang
「星座」 这 个 词 语 怎么 读?,xīng zuò,xíng zuò,xīng zhuò,xìng zuò
「银河」 这 个 词 语 怎么 读?,yín hé,yīn hé,yǐn hé,yìn hé
