用来找方向的工具叫什么？,指南针 (zhǐ nán zhēn)
指南针的红色针指向哪边？,北 (North)
太阳从哪个方向升起？,东 (East)
太阳从哪个方向落下？,西 (West)
最冷的方向是？,北 (North)
最热的方向是？,南 (South)
地图最上面通常是什么方向？,北 (North)
地图的方向口诀是什么？,上北、下南、左西、右东
没有指南针, 早上怎么找北？,看太阳 — 太阳升起的方向是东, 北就是左边
没有指南针, 看树上的什么可以找北？,苔藓 — 通常长在树的北边
晚上没有指南针, 看哪颗星可以找北？,北极星 (北斗七星指向它)
中午为什么很难用太阳找方向？,太阳在头顶, 看不出东西方向
阴天能用太阳找方向吗？,看不到太阳, 不能 — 要靠指南针
最准的找方向工具是什么？,指南针 — 自然线索可以参考但不 100% 准
晴天 / 很热可能有什么危险？,中暑、晒伤、脱水
晴天 / 很热应该怎么办？,戴帽子、抹防晒霜、多喝水、找阴凉
下雨可能有什么危险？,衣服湿会着凉、地面滑容易摔倒、大雨可能山洪
下雨应该怎么办？,带雨衣、雨伞, 不要玩水洼, 注意山洪
打雷闪电可能有什么危险？,雷会击中高物体、金属会引雷、树下和水边都危险
打雷闪电应该怎么办？,远离大树、水边和金属, 找室内躲避
看到熊应该怎么做？,不要跑! 慢慢后退, 大声缓慢说话
看到蛇应该怎么做？,站远一点, 不要戳、不要抓 (蛇受惊才咬)
可以喂野生动物吗？,不可以 — 会改变它们的习惯, 对它们不好
野外有哪些东西不能吃？,不认识的蘑菇、野果、植物
野外有哪些东西不能碰？,陌生植物、带刺植物、不明物品 / 垃圾
迷路了第一步应该怎么做？,站住! 不要跑 — 深呼吸 3 次
迷路了应该怎么求救？,大声喊 / 吹哨子 (3 长信号, 等 30 秒)
求救的国际信号是什么？,SOS — 三短三长三短
怎么让远处的人看到你？,挥亮色衣服、用镜子反光、找空旷地方
迷路时可以乱走吗？为什么？,不可以 — 越走越远, 应该原地等大人
独自行动安全吗？,不安全 — 一定要跟着大人或队伍
"指南针" 这个词怎么读？,zhǐ nán zhēn
请说出 4 个方向 (中文 + 英文),东 East、南 South、西 West、北 North
请说出 4 种危险天气,晴天 / 很热、下雨、打雷闪电、大风 (或下雪)
