Question,Option A,Option B,Option C,Option D,Correct
"「AI」是什么的简称?",Artificial Intelligence (人工智能),Apple Internet,All Information,Auto Internet,A
"下面哪个最像是 AI?",普通电灯,Siri 语音助手,木头桌子,纸质书,B
"AI 会不会犯错?",从来不犯错,有时会犯错,只在晚上犯错,只在生气时犯错,B
"为什么不能把自己的电话号码告诉 AI?",AI 会笑话你,要保护隐私,AI 听不懂,AI 太忙了,B
"AI 是怎么学的?",从妈妈肚子里就会,看很多很多例子学,从超市买来的,做梦学到的,B
"AI 帮我做数学题, 我直接抄 — 这是聪明的做法吗?",聪明 — 省时间,不聪明 — 我没学到,聪明 — AI 不会错,不聪明 — AI 会生气,B
"中国「四大发明」中的活字印刷是谁发明的?",蔡伦,毕昇,爱迪生,牛顿,B
"活字印刷比手抄书厉害在哪里?",每个字只能用一次,每个字可以反复使用印很多本,字是金色的,字会自己写,B
"3D 打印和普通打印有什么不同?",3D 打印出立体的东西,3D 只能打印彩色的,3D 打印需要电池,3D 不需要纸,A
"3D 打印是怎么把东西做出来的?",叮一下就变出来,一层一层堆起来,一次成型,用魔法变出来,B
"现在的牙医真的用 3D 打印做假牙吗?",从来不用,是的, 真的在用,只在动画片里用,只有富人能用,B
"活字印刷和 3D 打印都在做什么共同的事?",都用来赚钱,把「想法」变成真实的东西,都是中国发明的,都是上个月发明的,B
